,1,2,3,4,5,6,30,11,7,31,8,9,10,15,16,12,13,14,32,33,34,35,25,26,23,24,19,20,21,22,17,18,27,28,29,$,P,D,D',D*,S,S',A,X,X',C,C',E,R,J,J',T,T',F,B',B*,K,V,H,O,Q,Y
0,s1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,s2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,s3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,s4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,s5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,s9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s10,s11,s12,,,6,7,,,,,,,,,,,,,,,,,,,,,,,8
6,,,,,s18,,s19,,,,,,,,,s20,,s21,,,,,,,,,,,,,,,,,,,,,,,13,14,15,,,,,,,,,,,,16,17,,,,,,
7,s9,,,,r1,,r1,,,,,,,,,r1,,r1,,,,,,,,,,,,,,,s10,s11,s12,,,22,7,,,,,,,,,,,,,,,,,,,,,,,8
8,,,,,,,s23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,r60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,r61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,r62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,r63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,s24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,s18,r10,s19,,,,,,,,,s20,r10,s21,,,,,,,,,,,,,,,,,,,,,,,25,14,15,,,,,,,,,,,,16,17,,,,,,
15,,,,,r12,r12,r12,,,,,,,,,r12,r12,r12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,r13,r13,r13,,,,,,,,,r13,r13,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,r14,r14,r14,,,,,,,,,r14,r14,r14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,s18,,s19,,,,,,,,,s20,,s21,,,,,,,,,,,,,,,,,,,,,,,26,14,15,,,,,,,,,,,,16,17,,,,,,
19,,,,,,,,,s28,,,,s27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,s29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,s30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,r2,,,,r2,,r2,,,,,,,,,r2,,r2,,,,,,,,,,,,,,,r2,r2,r2,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,s31,s33,,,s34,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,r11,r11,r11,,,,,,,,,r11,r11,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,s35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,s45,,,,s43,,,s46,,,,,,,,,s47,s48,s49,s50,,,,,,,,,,,,,,,,,,,,,,36,,37,,38,39,40,,41,,42,,,44,,,,,
28,,,s45,,,,s43,,,s46,,,,,,,,,s47,s48,s49,s50,,,,,,,,,,,,,,,,,,,,,,51,,37,,38,39,40,,41,,42,,,44,,,,,
29,,,s45,,,,s43,,,s46,,,,,,,,,s47,s48,s49,s50,,,,,,,,,,,,,,,,,,,,,,52,,37,,38,39,40,,41,,42,,,44,,,,,
30,,,s45,,,,s43,,,s46,,,,,,,,,s47,s48,s49,s50,,,,,,,,,,,,,,,,,,,,,,53,,37,,38,39,40,,41,,42,,,44,,,,,
31,r3,,,,r3,,r3,,,,,,,,,r3,,r3,,,,,,,,,,,,,,,r3,r3,r3,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,s54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,s55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,s56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,r15,r15,r15,,,,,,,,,r15,r15,r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,s57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,r18,,,,r18,,,r18,,,s59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,
38,,,,r22,,,,r22,,,r22,,,r22,s61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,
39,,,,r26,,,,r26,,,r26,,,r26,r26,,,,,,,,,,,,,,,,s63,s64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,
40,,,,r28,,,,r28,,,r28,,,r28,r28,,,,,,,,,,,,s66,s67,s68,s69,r28,r28,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,
41,,,,r30,,,,r30,,,r30,,,r30,r30,,,,,,,,,,s72,s73,r30,r30,r30,r30,r30,r30,,,,,,,,,,,,,,,,,,,70,,,,,,,,71,,,
42,,,,r34,,,,r34,,,r34,,,r34,r34,,,,,,,,s76,s77,r34,r34,r34,r34,r34,r34,r34,r34,,,,,,,,,,,,,,,,,,,,,74,,,,,75,,,,
43,,,,r38,,,,r38,s78,,r38,,,r38,r38,,,,,,,,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,r40,,,,r40,,,r40,,,r40,r40,,,,,,,,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,s45,,,,s43,,,s46,,,,,,,,,s47,s48,s49,s50,,,,,,,,,,,,,,,,,,,,,,79,,37,,38,39,40,,41,,42,,,44,,,,,
46,,,,r45,,,,r45,,,r45,,,r45,r45,,,,,,,,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,r46,,,,r46,,,r46,,,r46,r46,,,,,,,,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,r47,,,,r47,,,r47,,,r47,r47,,,,,,,,r47,r47,r47,r47,r47,r47,r47,r47,r47,r47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,r48,,,,r48,,,r48,,,r48,r48,,,,,,,,r48,r48,r48,r48,r48,r48,r48,r48,r48,r48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,r49,,,,r49,,,r49,,,r49,r49,,,,,,,,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,s80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,s81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,s82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,r4,,,,r4,,r4,,,,,,,,,r4,,r4,,,,,,,,,,,,,,,r4,r4,r4,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,s83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,r6,s85,,,s34,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,
57,,,,,r16,r16,r16,,,,,,,,,r16,r16,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,r19,,,,r19,,,r19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,s45,,,,s43,,,s46,,,,,,,,,s47,s48,s49,s50,,,,,,,,,,,,,,,,,,,,,,,,86,,38,39,40,,41,,42,,,44,,,,,
60,,,,r23,,,,r23,,,r23,,,r23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,s45,,,,s43,,,s46,,,,,,,,,s47,s48,s49,s50,,,,,,,,,,,,,,,,,,,,,,,,,,87,39,40,,41,,42,,,44,,,,,
62,,,s45,,,,s43,,,s46,,,,,,,,,s47,s48,s49,s50,,,,,,,,,,,,,,,,,,,,,,,,,,,88,40,,41,,42,,,44,,,,,
63,,,r58,,,,r58,,,r58,,,,,,,,,r58,r58,r58,r58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,r59,,,,r59,,,r59,,,,,,,,,r59,r59,r59,r59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,s45,,,,s43,,,s46,,,,,,,,,s47,s48,s49,s50,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,41,,42,,,44,,,,,
66,,,r54,,,,r54,,,r54,,,,,,,,,r54,r54,r54,r54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,r55,,,,r55,,,r55,,,,,,,,,r55,r55,r55,r55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,r56,,,,r56,,,r56,,,,,,,,,r56,r56,r56,r56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,r57,,,,r57,,,r57,,,,,,,,,r57,r57,r57,r57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,r31,,,,r31,,,r31,,,r31,r31,,,,,,,,,,,,r31,r31,r31,r31,r31,r31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,s45,,,,s43,,,s46,,,,,,,,,s47,s48,s49,s50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,42,,,44,,,,,
72,,,r52,,,,r52,,,r52,,,,,,,,,r52,r52,r52,r52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,r53,,,,r53,,,r53,,,,,,,,,r53,r53,r53,r53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,r35,,,,r35,,,r35,,,r35,r35,,,,,,,,,,r35,r35,r35,r35,r35,r35,r35,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,s45,,,,s43,,,s46,,,,,,,,,s47,s48,s49,s50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,44,,,,,
76,,,r50,,,,r50,,,r50,,,,,,,,,r50,r50,r50,r50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,r51,,,,r51,,,r51,,,,,,,,,r51,r51,r51,r51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,s45,,,,s43,,,s46,,,,,,,,,s47,s48,s49,s50,,,,,,,,,,,,,,,,,,,,,,92,,37,,38,39,40,,41,,42,,,44,,,,,
79,,,,s93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,s94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,s18,,s19,,,,,,,,,s20,,s21,,,,,,,,,,,,,,,,,,,,,,,95,14,15,,,,,,,,,,,,16,17,,,,,,
82,,,,,s96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,s34,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,r7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,s98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,r20,,,,r20,,,r20,,,s59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,
87,,,,r24,,,,r24,,,r24,,,r24,s61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
88,,,,r27,,,,r27,,,r27,,,r27,r27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,r29,,,,r29,,,r29,,,r29,r29,,,,,,,,,,,,,,,,r29,r29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,r32,,,,r32,,,r32,,,r32,r32,,,,,,,,,,s72,s73,r32,r32,r32,r32,r32,r32,,,,,,,,,,,,,,,,,,,101,,,,,,,,71,,,
91,,,,r36,,,,r36,,,r36,,,r36,r36,,,,,,,,s76,s77,r36,r36,r36,r36,r36,r36,r36,r36,,,,,,,,,,,,,,,,,,,,,102,,,,,75,,,,
92,,,,,,,,,,,s103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,r41,,,,r41,,,r41,,,r41,r41,,,,,,,,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,s45,,,,s43,,,s46,,,,,,,,,s47,s48,s49,s50,,,,,,,,,,,,,,,,,,,,,,104,,37,,38,39,40,,41,,42,,,44,,,,,
95,,,,,r42,r42,r42,,,,,,,,,r42,s105,r42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,s18,,s19,,,,,,,,,s20,,s21,,,,,,,,,,,,,,,,,,,,,,,106,14,15,,,,,,,,,,,,16,17,,,,,,
97,,,,,,,,s107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,s108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,r21,,,,r21,,,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,r25,,,,r25,,,r25,,,r25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,r33,,,,r33,,,r33,,,r33,r33,,,,,,,,,,,,r33,r33,r33,r33,r33,r33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,r37,,,,r37,,,r37,,,r37,r37,,,,,,,,,,r37,r37,r37,r37,r37,r37,r37,r37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,r39,,,,r39,,,r39,,,r39,r39,,,,,,,,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,s109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,s18,,s19,,,,,,,,,s20,,s21,,,,,,,,,,,,,,,,,,,,,,,110,14,15,,,,,,,,,,,,16,17,,,,,,
106,,,,,,s111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,r5,,,,r5,,r5,,,,,,,,,r5,,r5,,,,,,,,,,,,,,,r5,r5,r5,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,r8,,,,s34,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,,,,,,,,,,,,,,,,,,,,,,
109,,,,,r17,r17,r17,,,,,,,,,r17,r17,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,r43,r43,r43,,,,,,,,,r43,r43,r43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,r44,r44,r44,,,,,,,,,r44,r44,r44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
